,A,B,accuracy,macro avg,weighted avg
precision,0.9932759548144163,0.9943770346256289,0.9938001972664506,0.9938264947200226,0.9938011281497628
recall,0.9948814655172413,0.9926144756277696,0.9938001972664506,0.9937479705725054,0.9938001972664506
f1-score,0.9940780619111709,0.9934949733885275,0.9938001972664506,0.9937865176498493,0.9937999507868722
support,3712.0,3385.0,0.9938001972664506,7097.0,7097.0
